nepali_date,english_date,n_month,n_year
2062-01-01,2005-04-14,baisakh,2062
2062-01-02,2005-04-15,baisakh,2062
2062-01-03,2005-04-16,baisakh,2062
2062-01-04,2005-04-17,baisakh,2062
2062-01-05,2005-04-18,baisakh,2062
2062-01-06,2005-04-19,baisakh,2062
2062-01-07,2005-04-20,baisakh,2062
2062-01-08,2005-04-21,baisakh,2062
2062-01-09,2005-04-22,baisakh,2062
2062-01-10,2005-04-23,baisakh,2062
2062-01-11,2005-04-24,baisakh,2062
2062-01-12,2005-04-25,baisakh,2062
2062-01-13,2005-04-26,baisakh,2062
2062-01-14,2005-04-27,baisakh,2062
2062-01-15,2005-04-28,baisakh,2062
2062-01-16,2005-04-29,baisakh,2062
2062-01-17,2005-04-30,baisakh,2062
2062-01-18,2005-05-01,baisakh,2062
2062-01-19,2005-05-02,baisakh,2062
2062-01-20,2005-05-03,baisakh,2062
2062-01-21,2005-05-04,baisakh,2062
2062-01-22,2005-05-05,baisakh,2062
2062-01-23,2005-05-06,baisakh,2062
2062-01-24,2005-05-07,baisakh,2062
2062-01-25,2005-05-08,baisakh,2062
2062-01-26,2005-05-09,baisakh,2062
2062-01-27,2005-05-10,baisakh,2062
2062-01-28,2005-05-11,baisakh,2062
2062-01-29,2005-05-12,baisakh,2062
2062-01-30,2005-05-13,baisakh,2062
2062-01-31,2005-05-14,baisakh,2062
2062-02-01,2005-05-15,jestha,2062
2062-02-02,2005-05-16,jestha,2062
2062-02-03,2005-05-17,jestha,2062
2062-02-04,2005-05-18,jestha,2062
2062-02-05,2005-05-19,jestha,2062
2062-02-06,2005-05-20,jestha,2062
2062-02-07,2005-05-21,jestha,2062
2062-02-08,2005-05-22,jestha,2062
2062-02-09,2005-05-23,jestha,2062
2062-02-10,2005-05-24,jestha,2062
2062-02-11,2005-05-25,jestha,2062
2062-02-12,2005-05-26,jestha,2062
2062-02-13,2005-05-27,jestha,2062
2062-02-14,2005-05-28,jestha,2062
2062-02-15,2005-05-29,jestha,2062
2062-02-16,2005-05-30,jestha,2062
2062-02-17,2005-05-31,jestha,2062
2062-02-18,2005-06-01,jestha,2062
2062-02-19,2005-06-02,jestha,2062
2062-02-20,2005-06-03,jestha,2062
2062-02-21,2005-06-04,jestha,2062
2062-02-22,2005-06-05,jestha,2062
2062-02-23,2005-06-06,jestha,2062
2062-02-24,2005-06-07,jestha,2062
2062-02-25,2005-06-08,jestha,2062
2062-02-26,2005-06-09,jestha,2062
2062-02-27,2005-06-10,jestha,2062
2062-02-28,2005-06-11,jestha,2062
2062-02-29,2005-06-12,jestha,2062
2062-02-30,2005-06-13,jestha,2062
2062-02-31,2005-06-14,jestha,2062
2062-03-01,2005-06-15,ashar,2062
2062-03-02,2005-06-16,ashar,2062
2062-03-03,2005-06-17,ashar,2062
2062-03-04,2005-06-18,ashar,2062
2062-03-05,2005-06-19,ashar,2062
2062-03-06,2005-06-20,ashar,2062
2062-03-07,2005-06-21,ashar,2062
2062-03-08,2005-06-22,ashar,2062
2062-03-09,2005-06-23,ashar,2062
2062-03-10,2005-06-24,ashar,2062
2062-03-11,2005-06-25,ashar,2062
2062-03-12,2005-06-26,ashar,2062
2062-03-13,2005-06-27,ashar,2062
2062-03-14,2005-06-28,ashar,2062
2062-03-15,2005-06-29,ashar,2062
2062-03-16,2005-06-30,ashar,2062
2062-03-17,2005-07-01,ashar,2062
2062-03-18,2005-07-02,ashar,2062
2062-03-19,2005-07-03,ashar,2062
2062-03-20,2005-07-04,ashar,2062
2062-03-21,2005-07-05,ashar,2062
2062-03-22,2005-07-06,ashar,2062
2062-03-23,2005-07-07,ashar,2062
2062-03-24,2005-07-08,ashar,2062
2062-03-25,2005-07-09,ashar,2062
2062-03-26,2005-07-10,ashar,2062
2062-03-27,2005-07-11,ashar,2062
2062-03-28,2005-07-12,ashar,2062
2062-03-29,2005-07-13,ashar,2062
2062-03-30,2005-07-14,ashar,2062
2062-03-31,2005-07-15,ashar,2062
